חשבון קרן,קרן,שם קרן,מספר נייר,שם נייר/סוג חשבון,מטבע,ערך נקוב,שער נייר,שער מטבע,"סה""כ ש""ח"
,1142556,חשבון פיקטיבי טכ עילית,0,"פיקדונות בש""ח",,0,0,0,10452181.73
,1142556,חשבון פיקטיבי טכ עילית,0,"עו""ש עתידי בש""ח",,0,0,0,-76.74
,1142556,חשבון פיקטיבי טכ עילית,0,"עו""ש במט""ח","דולרים של ארה""ב",9114050.72,0,0,33982649.51
,1142556,חשבון פיקטיבי טכ עילית,13664,TSEM,"דולרים של ארה""ב",36469,38.93,3.7286,5293635.74
,1142556,חשבון פיקטיבי טכ עילית,15198,NICE,"דולרים של ארה""ב",6726,188.19,3.7286,4719534.88
,1142556,חשבון פיקטיבי טכ עילית,50294,ESLT,"דולרים של ארה""ב",3390,193.76,3.7286,2449117.49
,1142556,חשבון פיקטיבי טכ עילית,53520,DOX,"דולרים של ארה""ב",339,96.75,3.7286,122291.55
,1142556,חשבון פיקטיבי טכ עילית,58040,AUDC,"דולרים של ארה""ב",8000,8.73,3.7286,260405.42
,1142556,חשבון פיקטיבי טכ עילית,69690,NVMI,"דולרים של ארה""ב",27697,111.52,3.7286,11516785.73
,1142556,חשבון פיקטיבי טכ עילית,71670,CAMT,"דולרים של ארה""ב",144017,29.34,3.7286,15755045.61
,1142556,חשבון פיקטיבי טכ עילית,256016,פורמולה מערכות,"ש""ח",24232,25560,0,6193699.2
,1142556,חשבון פיקטיבי טכ עילית,273011,נייס,"ש""ח",5943,70840,0,4210021.2
,1142556,חשבון פיקטיבי טכ עילית,328013,פריורטק,"ש""ח",45330,6833,0,3097398.9
,1142556,חשבון פיקטיבי טכ עילית,445015,מטריקס,"ש""ח",171627,6923,0,11881737.21
,1142556,חשבון פיקטיבי טכ עילית,445015,מטריקס,"ש""ח",0,0,0,121855.17
,1142556,חשבון פיקטיבי טכ עילית,720011,אנלייט אנרגיה,"ש""ח",200018.9,6652,0,13305257.23
,1142556,חשבון פיקטיבי טכ עילית,1081124,אלביט מערכות,"ש""ח",4362,74770,0,3261467.4
,1142556,חשבון פיקטיבי טכ עילית,1082965,אודיוקודס,"ש""ח",41727,3137,0,1308975.99
,1142556,חשבון פיקטיבי טכ עילית,1084557,נובה,"ש""ח",12010,41400,0,4972140
